Date,BTCUSDT Close,ETHUSDT Close
2021-06-03,37634.57000000,2725.80000000
2021-06-04,37933.72000000,2753.27000000
2021-06-05,37410.00000000,2762.33000000
2021-06-06,35989.67000000,2674.19000000
2021-06-07,36392.93000000,2767.38000000
2021-06-08,32817.09000000,2490.96000000
2021-06-09,32863.07000000,2454.86000000
2021-06-10,36959.69000000,2563.15000000
2021-06-11,36754.40000000,2465.10000000
2021-06-12,35571.19000000,2300.18000000
2021-06-13,34867.80000000,2333.41000000
2021-06-14,38975.14000000,2478.34000000
2021-06-15,40404.86000000,2586.82000000
2021-06-16,40013.63000000,2521.89000000
2021-06-17,38865.05000000,2434.38000000
2021-06-18,37926.79000000,2342.16000000
2021-06-19,35103.44000000,2188.46000000
2021-06-20,35527.24000000,2183.38000000
2021-06-21,34649.63000000,2157.07000000
2021-06-22,33018.22000000,1976.18000000
2021-06-23,33966.43000000,2012.22000000
2021-06-24,32589.20000000,1905.01000000
2021-06-25,35052.07000000,1995.45000000
2021-06-26,31977.59000000,1819.34000000
2021-06-27,33146.91000000,1882.48000000
2021-06-28,34398.36000000,1967.62000000
2021-06-29,34577.16000000,2104.00000000
2021-06-30,35119.99000000,2126.58000000
2021-07-01,34120.01000000,2184.79000000
2021-07-02,32907.22000000,2041.20000000
2021-07-03,33524.47000000,2131.16000000
2021-07-04,34641.61000000,2209.73000000
2021-07-05,34350.89000000,2264.20000000
2021-07-06,33920.69000000,2238.17000000
2021-07-07,34446.50000000,2339.47000000
2021-07-08,33305.65000000,2253.36000000
2021-07-09,32941.81000000,2121.42000000
2021-07-10,33800.03000000,2133.98000000
2021-07-11,33448.97000000,2091.10000000
2021-07-12,34447.92000000,2163.80000000
2021-07-13,33071.14000000,2030.01000000
2021-07-14,31830.01000000,1884.33000000
2021-07-15,32641.65000000,1979.28000000
2021-07-16,31914.89000000,1949.04000000
2021-07-17,31306.56000000,1867.00000000
2021-07-18,32166.00000000,1981.77000000
2021-07-19,31541.57000000,1885.59000000
2021-07-20,29600.46000000,1728.59000000
2021-07-21,29845.10000000,1801.87000000
2021-07-22,31929.64000000,1976.59000000
2021-07-23,32594.46000000,2059.91000000
2021-07-24,33669.98000000,2138.61000000
2021-07-25,34160.85000000,2151.96000000
2021-07-26,38283.98000000,2317.03000000
2021-07-27,36823.80000000,2172.81000000
2021-07-28,39817.56000000,2288.26000000
2021-07-29,39609.78000000,2277.71000000
2021-07-30,39969.99000000,2422.21000000
2021-07-31,41810.01000000,2463.18000000
2021-08-01,42435.13000000,2616.50000000
2021-08-02,39785.59000000,2560.00000000
2021-08-03,38655.74000000,2533.69000000
2021-08-04,37976.81000000,2484.82000000
2021-08-05,39435.09000000,2712.01000000
2021-08-06,40219.47000000,2760.87000000
2021-08-07,43691.86000000,2935.12000000
2021-08-08,44322.42000000,3119.92000000
2021-08-09,43496.09000000,2948.31000000
2021-08-10,45708.76000000,3115.39000000
2021-08-11,45585.66000000,3159.11000000
2021-08-12,45927.00000000,3211.95000000
2021-08-13,44847.26000000,3088.22000000
2021-08-14,47540.00000000,3295.49000000
2021-08-15,46874.81000000,3247.62000000
2021-08-16,47357.62000000,3260.94000000
2021-08-17,46417.00000000,3194.69000000
2021-08-18,45055.78000000,3049.87000000
2021-08-19,44046.97000000,2966.99000000
2021-08-20,47054.74000000,3217.83000000
2021-08-21,48828.17000000,3276.44000000
2021-08-22,48790.00000000,3226.01000000
2021-08-23,50260.00000000,3340.22000000
2021-08-24,49331.16000000,3324.33000000
2021-08-25,47975.93000000,3175.00000000
2021-08-26,47911.79000000,3148.84000000
2021-08-27,46822.23000000,3094.26000000
2021-08-28,48852.99000000,3244.46000000
2021-08-29,48227.31000000,3180.28000000
2021-08-30,47964.04000000,3161.64000000
2021-08-31,47150.68000000,3237.78000000
2021-09-01,47043.65000000,3442.15000000
2021-09-02,49561.24000000,3763.31000000
2021-09-03,49476.83000000,3806.83000000
2021-09-04,50277.43000000,3917.76000000
2021-09-05,49663.21000000,3845.00000000
2021-09-06,51595.29000000,3904.98000000
2021-09-07,52654.16000000,3913.67000000
2021-09-08,46450.41000000,3430.32000000
2021-09-09,46001.11000000,3469.88000000
2021-09-10,46719.71000000,3465.02000000
2021-09-11,45191.88000000,3241.63000000
2021-09-12,45316.28000000,3327.54000000
2021-09-13,44617.79000000,3257.70000000
2021-09-14,45186.85000000,3291.33000000
2021-09-15,47075.48000000,3396.19000000
2021-09-16,47615.08000000,3542.91000000
2021-09-17,47899.83000000,3563.03000000
2021-09-18,47924.57000000,3451.42000000
2021-09-19,47844.88000000,3413.47000000
2021-09-20,45542.76000000,3187.09000000
2021-09-21,42683.01000000,2998.78000000
2021-09-22,42052.09000000,2867.12000000
2021-09-23,44074.57000000,3118.50000000
2021-09-24,44283.03000000,3074.93000000
2021-09-25,42608.11000000,2912.15000000
2021-09-26,42212.40000000,2866.52000000
2021-09-27,44038.75000000,3131.91000000
2021-09-28,42558.40000000,2948.97000000
2021-09-29,42199.99000000,2895.95000000
2021-09-30,43591.23000000,3027.46000000
2021-10-01,43635.79000000,3002.98000000
2021-10-02,47520.84000000,3267.31000000
