Date,BTCUSDT Close,LTCUSDT Close
2021-02-27,47423.08000000,175.89000000
2021-02-28,44629.17000000,158.22000000
2021-03-01,46336.37000000,165.50000000
2021-03-02,48974.75000000,173.22000000
2021-03-03,48704.75000000,185.00000000
2021-03-04,49574.89000000,185.26000000
2021-03-05,47289.81000000,172.97000000
2021-03-06,48657.72000000,179.66000000
2021-03-07,49551.44000000,184.44000000
2021-03-08,50598.49000000,188.70000000
2021-03-09,53840.62000000,198.71000000
2021-03-10,53467.80000000,193.39000000
2021-03-11,55992.60000000,199.64000000
2021-03-12,57104.17000000,209.93000000
2021-03-13,56694.32000000,216.84000000
2021-03-14,61356.31000000,224.23000000
2021-03-15,60379.99000000,220.00000000
2021-03-16,54272.86000000,196.19000000
2021-03-17,55506.23000000,197.15000000
2021-03-18,58712.33000000,204.64000000
2021-03-19,57779.84000000,201.05000000
2021-03-20,58367.74000000,202.00000000
2021-03-21,57790.00000000,199.05000000
2021-03-22,57563.63000000,194.60000000
2021-03-23,54684.83000000,188.35000000
2021-03-24,54350.54000000,190.94000000
2021-03-25,52122.86000000,175.67000000
2021-03-26,52407.19000000,175.19000000
2021-03-27,54760.97000000,181.64000000
2021-03-28,56052.05000000,186.17000000
2021-03-29,55371.60000000,190.45000000
2021-03-30,57181.33000000,191.05000000
2021-03-31,58608.63000000,193.64000000
2021-04-01,59119.02000000,197.50000000
2021-04-02,59869.79000000,206.13000000
2021-04-03,59221.53000000,210.89000000
2021-04-04,57492.42000000,199.25000000
2021-04-05,57467.12000000,202.65000000
2021-04-06,58608.70000000,218.32000000
2021-04-07,57922.75000000,240.48000000
2021-04-08,56540.62000000,221.08000000
2021-04-09,57985.71000000,224.25000000
2021-04-10,59229.50000000,226.66000000
2021-04-11,60268.58000000,250.27000000
2021-04-12,60368.96000000,254.10000000
2021-04-13,60493.43000000,250.41000000
2021-04-14,63749.19000000,279.41000000
2021-04-15,63056.61000000,278.52000000
2021-04-16,62937.91000000,295.19000000
2021-04-17,62372.27000000,323.51000000
2021-04-18,55014.46000000,265.01000000
2021-04-19,57030.90000000,279.90000000
2021-04-20,54764.12000000,246.89000000
2021-04-21,55204.60000000,258.42000000
2021-04-22,53497.09000000,257.66000000
2021-04-23,50298.76000000,232.49000000
2021-04-24,50109.93000000,234.07000000
2021-04-25,49615.54000000,224.05000000
2021-04-26,52398.99000000,238.35000000
2021-04-27,53460.30000000,248.02000000
2021-04-28,54774.05000000,255.20000000
2021-04-29,54265.10000000,253.95000000
2021-04-30,53679.03000000,259.87000000
2021-05-01,58178.67000000,274.16000000
2021-05-02,56450.19000000,267.57000000
2021-05-03,57925.80000000,273.16000000
2021-05-04,55452.17000000,276.46000000
2021-05-05,54795.19000000,332.32000000
2021-05-06,56797.09000000,342.11000000
2021-05-07,55705.67000000,351.51000000
2021-05-08,58099.98000000,352.85000000
2021-05-09,58632.78000000,340.81000000
2021-05-10,59356.76000000,408.93000000
2021-05-11,55142.46000000,352.05000000
2021-05-12,57756.94000000,391.40000000
2021-05-13,50461.99000000,325.15000000
2021-05-14,49157.93000000,311.61000000
2021-05-15,49627.01000000,324.77000000
2021-05-16,48383.46000000,311.49000000
2021-05-17,42915.46000000,269.06000000
2021-05-18,44779.83000000,302.72000000
2021-05-19,40591.15000000,273.73000000
2021-05-20,38341.04000000,194.09000000
2021-05-21,40666.91000000,207.91000000
2021-05-22,36951.85000000,178.61000000
2021-05-23,37421.59000000,171.12000000
2021-05-24,35251.37000000,151.37000000
2021-05-25,38304.51000000,181.49000000
2021-05-26,39503.98000000,191.44000000
2021-05-27,37621.56000000,183.89000000
2021-05-28,38237.18000000,193.76000000
2021-05-29,36458.77000000,186.34000000
2021-05-30,34770.12000000,166.32000000
2021-05-31,34489.57000000,165.80000000
2021-06-01,36704.99000000,182.89000000
2021-06-02,36472.39000000,182.24000000
2021-06-03,37634.57000000,186.19000000
2021-06-04,37933.72000000,183.06000000
2021-06-05,37410.00000000,182.04000000
2021-06-06,35989.67000000,176.40000000
2021-06-07,36392.93000000,180.87000000
2021-06-08,32817.09000000,156.60000000
2021-06-09,32863.07000000,154.47000000
2021-06-10,36959.69000000,170.14000000
2021-06-11,36754.40000000,171.28000000
2021-06-12,35571.19000000,156.66000000
2021-06-13,34867.80000000,157.52000000
2021-06-14,38975.14000000,168.49000000
2021-06-15,40404.86000000,178.55000000
2021-06-16,40013.63000000,172.29000000
2021-06-17,38865.05000000,171.25000000
2021-06-18,37926.79000000,165.25000000
2021-06-19,35103.44000000,154.29000000
2021-06-20,35527.24000000,153.28000000
2021-06-21,34649.63000000,149.53000000
2021-06-22,33018.22000000,131.44000000
2021-06-23,33966.43000000,128.70000000
2021-06-24,32589.20000000,126.71000000
2021-06-25,35052.07000000,137.25000000
2021-06-26,31977.59000000,126.62000000
2021-06-27,33146.91000000,129.22000000
2021-06-28,34398.36000000,130.68000000
2021-06-29,34577.16000000,138.54000000
2021-06-30,35119.99000000,142.23000000
2021-07-01,34120.01000000,138.98000000
2021-07-02,32907.22000000,132.39000000
2021-07-03,33524.47000000,135.40000000
2021-07-04,34641.61000000,138.32000000
2021-07-05,34350.89000000,141.25000000
2021-07-06,33920.69000000,138.52000000
2021-07-07,34446.50000000,139.97000000
2021-07-08,33305.65000000,134.99000000
2021-07-09,32941.81000000,130.63000000
2021-07-10,33800.03000000,133.77000000
2021-07-11,33448.97000000,132.80000000
2021-07-12,34447.92000000,135.49000000
2021-07-13,33071.14000000,133.32000000
2021-07-14,31830.01000000,124.76000000
2021-07-15,32641.65000000,129.22000000
2021-07-16,31914.89000000,126.73000000
2021-07-17,31306.56000000,119.90000000
2021-07-18,32166.00000000,123.05000000
2021-07-19,31541.57000000,118.58000000
