Date,BTCUSDT Close,ETHUSDT Close,ADAUSDT Close,SOLUSDT Close,SHIBUSDT Close,DOGEUSDT Close
2021-05-29,36458.77000000,2525.29000000,1.55040000,29.45100000,0.00000812,0.31621000
2021-05-30,34770.12000000,2296.12000000,1.48200000,26.76400000,0.00000786,0.29717000
2021-05-31,34489.57000000,2300.77000000,1.55080000,28.05900000,0.00000777,0.29707000
2021-06-01,36704.99000000,2630.79000000,1.71170000,32.20700000,0.00000910,0.32824000
2021-06-02,36472.39000000,2615.40000000,1.75960000,31.03800000,0.00000891,0.37769000
2021-06-03,37634.57000000,2725.80000000,1.76260000,35.52900000,0.00000965,0.42525000
2021-06-04,37933.72000000,2753.27000000,1.76210000,38.84000000,0.00000924,0.39711000
2021-06-05,37410.00000000,2762.33000000,1.74620000,41.45000000,0.00000886,0.38010000
2021-06-06,35989.67000000,2674.19000000,1.67630000,39.68500000,0.00000848,0.37295000
2021-06-07,36392.93000000,2767.38000000,1.72590000,42.59600000,0.00000860,0.37560000
2021-06-08,32817.09000000,2490.96000000,1.52540000,37.51900000,0.00000735,0.32514000
2021-06-09,32863.07000000,2454.86000000,1.50770000,40.57700000,0.00000711,0.31823000
2021-06-10,36959.69000000,2563.15000000,1.59520000,40.72400000,0.00000726,0.33865000
2021-06-11,36754.40000000,2465.10000000,1.53030000,40.17100000,0.00000680,0.32481000
2021-06-12,35571.19000000,2300.18000000,1.39060000,35.43100000,0.00000574,0.30602000
2021-06-13,34867.80000000,2333.41000000,1.45110000,35.75300000,0.00000614,0.30841000
2021-06-14,38975.14000000,2478.34000000,1.53780000,37.87100000,0.00000672,0.32119000
2021-06-15,40404.86000000,2586.82000000,1.57280000,40.54500000,0.00000707,0.32656000
2021-06-16,40013.63000000,2521.89000000,1.54520000,39.04100000,0.00000875,0.31594000
2021-06-17,38865.05000000,2434.38000000,1.52990000,40.29100000,0.00000831,0.31367000
2021-06-18,37926.79000000,2342.16000000,1.47490000,39.17200000,0.00000767,0.30493000
2021-06-19,35103.44000000,2188.46000000,1.40190000,35.68000000,0.00000733,0.28795000
2021-06-20,35527.24000000,2183.38000000,1.39400000,34.97200000,0.00000762,0.28316000
2021-06-21,34649.63000000,2157.07000000,1.36430000,32.77000000,0.00000749,0.26504000
2021-06-22,33018.22000000,1976.18000000,1.25240000,27.93800000,0.00000687,0.20897000
2021-06-23,33966.43000000,2012.22000000,1.24320000,29.97400000,0.00000669,0.20898000
2021-06-24,32589.20000000,1905.01000000,1.29110000,28.98200000,0.00000673,0.22901000
2021-06-25,35052.07000000,1995.45000000,1.37870000,32.67900000,0.00000732,0.28528000
2021-06-26,31977.59000000,1819.34000000,1.26050000,29.20300000,0.00000728,0.24463000
