Date,Open,High,Low,Close,Volume,OpenInterest
1643400000.0,37222.85000000,37858.19000000,37134.65000000,37758.01000000,2350.29717000,0.0
1643403600.0,37758.00000000,38000.00000000,37660.88000000,37788.87000000,1701.81819000,0.0
1643407200.0,37788.87000000,37943.55000000,37653.36000000,37655.01000000,951.05179000,0.0
1643410800.0,37655.01000000,37850.00000000,37642.05000000,37716.56000000,665.72042000,0.0
1643414400.0,37716.57000000,37983.41000000,37647.01000000,37788.27000000,1192.04040000,0.0
1643418000.0,37788.27000000,37899.99000000,37473.07000000,37535.77000000,1181.30907000,0.0
1643421600.0,37535.76000000,37635.93000000,37448.58000000,37530.75000000,904.78617000,0.0
1643425200.0,37530.74000000,37750.00000000,37490.10000000,37737.73000000,837.02319000,0.0
1643428800.0,37737.72000000,37916.08000000,37726.32000000,37814.46000000,719.21190000,0.0
1643432400.0,37814.47000000,37834.99000000,37613.01000000,37653.72000000,728.34049000,0.0
1643436000.0,37653.71000000,37835.00000000,37589.44000000,37739.78000000,1012.49480000,0.0
1643439600.0,37739.78000000,37925.00000000,37656.57000000,37836.99000000,967.94082000,0.0
1643443200.0,37836.98000000,37923.00000000,37750.00000000,37785.82000000,1004.43660000,0.0
1643446800.0,37785.82000000,37786.85000000,37544.94000000,37703.24000000,709.55783000,0.0
1643450400.0,37703.25000000,37809.83000000,37597.11000000,37756.19000000,679.36743000,0.0
1643454000.0,37756.20000000,37788.24000000,37662.44000000,37736.07000000,426.51029000,0.0
1643457600.0,37736.06000000,37916.99000000,37623.01000000,37847.57000000,755.03752000,0.0
1643461200.0,37847.57000000,38186.11000000,37733.04000000,38161.69000000,1782.61817000,0.0
1643464800.0,38161.69000000,38198.82000000,37507.72000000,37620.04000000,1985.59542000,0.0
1643468400.0,37620.04000000,37735.67000000,37268.44000000,37566.82000000,1881.67209000,0.0
1643472000.0,37567.98000000,37603.57000000,37317.37000000,37538.19000000,1102.74218000,0.0
1643475600.0,37538.19000000,37720.77000000,37532.15000000,37646.31000000,784.47184000,0.0
1643479200.0,37646.31000000,37904.19000000,37556.56000000,37806.23000000,772.06693000,0.0
1643482800.0,37806.24000000,37950.00000000,37781.49000000,37853.00000000,671.54974000,0.0
1643486400.0,37853.00000000,38650.00000000,37816.21000000,38340.03000000,2848.57779000,0.0
1643490000.0,38340.03000000,38720.74000000,38279.99000000,38358.32000000,1378.11408000,0.0
1643493600.0,38358.32000000,38411.72000000,38045.27000000,38140.00000000,1008.45341000,0.0
1643497200.0,38140.00000000,38185.80000000,37906.26000000,38166.84000000,795.57866000,0.0
1643500800.0,38166.83000000,38281.24000000,37737.49000000,37816.45000000,1184.00777000,0.0
1643504400.0,37816.46000000,37976.29000000,37788.87000000,37931.75000000,716.99550000,0.0
1643508000.0,37931.75000000,38054.18000000,37873.59000000,37951.80000000,827.14758000,0.0
1643511600.0,37951.79000000,38044.24000000,37881.55000000,37917.13000000,649.81836000,0.0
1643515200.0,37917.13000000,38183.86000000,37901.17000000,38099.34000000,497.07420000,0.0
